NM_001001398.2 fgf6a
XR_011016193.1 LOC137496103
XR_011016194.1 LOC137496104
XR_011016195.1 LOC137490678
XR_011016196.1 LOC110439910
XR_011016197.1 LOC137496106
XR_011016198.1 LOC137496109
XR_011016199.1 LOC103911288
XR_011016200.1 si:ch211-281p14.2
XR_011016201.1 si:ch211-281p14.2
XR_011016202.1 si:ch211-281p14.2
XR_011016203.1 LOC137496110
XR_011016204.1 LOC101883941
XR_011016205.1 LOC108190589
XR_011016206.1 LOC137496111
XR_011016207.1 LOC137496112
XR_011016208.1 si:cabz01102082.1
XR_011016209.1 LOC137496114
XR_011016210.1 LOC137496116
XR_011016211.1 LOC137496117
XR_011016212.1 LOC137496117
XR_011016213.1 LOC101882221
XR_011016214.1 LOC137496118
XR_011016215.1 LOC110439965
XR_011016216.1 LOC110439965
XR_011016217.1 LOC137496119
XR_011016218.1 LOC137496119
XR_011016219.1 LOC137496120
XR_011016220.1 LOC137496120
XR_011016221.1 LOC137496121
XR_011016222.1 LOC137496121
XR_011016223.1 LOC137496121
XR_011016224.1 si:ch211-285c6.6
XR_011016225.1 si:ch211-285c6.6
XR_011016226.1 LOC137496122
XR_011016227.1 LOC137496123
XR_011016228.1 LOC137496124
XR_011016229.1 LOC137496125
XR_011016230.1 LOC137496126
XR_011016231.1 LOC137496126
XR_011016232.1 LOC137496126
XR_011016233.1 LOC108190613
XR_011016234.1 LOC108190613
XR_011016235.1 LOC110439918
XR_011016236.1 LOC137496139
XR_011016237.1 LOC137496140
XR_011016238.1 LOC101884770
XR_011016239.1 LOC137496141
XR_011016240.1 LOC137496142
XR_011016241.1 LOC137496142
XR_011016242.1 LOC137496142
XR_011016243.1 LOC137496143
XR_011016244.1 LOC137496144
XR_011016245.1 gal3st3
XR_011016246.1 LOC137496145
XR_011016247.1 LOC137496146
XR_011016248.1 LOC137496147
XR_011016249.1 LOC137496148
XR_011016250.1 LOC137496149
XR_011016251.1 LOC137490253
XR_011016252.1 LOC101883859
XR_011016253.1 LOC137496151
XR_011016254.1 LOC137496152
XR_011016255.1 LOC137496153
XR_011016256.1 LOC137496154
XR_011016257.1 LOC137490254
XR_011016258.1 LOC137496155
XR_011016259.1 LOC137496157
XR_011016260.1 LOC137496157
XR_011016261.1 LOC137496157
XR_011016262.1 LOC137496158
XR_011016263.1 LOC137496159
XR_011016264.1 LOC100535819
XR_011016265.1 LOC137496160
XR_011016266.1 LOC137496161
XR_011016267.1 LOC137496162
XR_011016268.1 LOC137496162
XR_011016269.1 LOC137496162
XR_011016270.1 LOC137496162
XR_011016271.1 LOC137496162
XR_011016272.1 si:ch73-335l21.1
XR_011016273.1 si:ch73-335l21.1
XR_011016274.1 LOC108190658
XR_011016275.1 LOC108190658
XR_011016276.1 si:dkey-19b23.8
XR_011016277.1 LOC137496163
XR_011016278.1 LOC137496163
XR_011016279.1 LOC137496163
XR_011016280.1 LOC137496164
XR_011016281.1 LOC137496165
XR_011016282.1 LOC137496165
XR_011016283.1 LOC108190663
XR_011016284.1 LOC137490270
XR_011016285.1 LOC137490272
XR_011016286.1 LOC137496166
XR_011016287.1 LOC137496166
XR_011016288.1 LOC137496167
XR_011016289.1 LOC137496167
XR_011016290.1 LOC137496167
XR_011016291.1 LOC137496167
XR_011016292.1 LOC137496168
XR_011016293.1 LOC137496169
XR_011016294.1 LOC137496170
XR_011016295.1 LOC137496170
XR_011016296.1 LOC137496170
XR_011016297.1 LOC137496170
XR_011016298.1 LOC137496170
XR_011016299.1 LOC137496171
XR_011016300.1 LOC137496171
XR_011016301.1 LOC137496172
XR_011016302.1 LOC137496174
XR_011016303.1 LOC137496175
XR_011016304.1 LOC137496176
XR_011016305.1 LOC137496177
XR_011016306.1 LOC137496177
XR_011016307.1 LOC137496177
XR_011016308.1 LOC137496178
XR_011016309.1 LOC137496178
XR_011016310.1 LOC137496179
XR_011016311.1 LOC137496180
XR_011016312.1 LOC137496180
XR_011016313.1 LOC137496181
XR_011016314.1 LOC137490289
XR_011016315.1 LOC101885114
XR_011016316.1 LOC103911398
XR_011016317.1 LOC137496182
XR_011016318.1 LOC137496184
XR_011016319.1 LOC137496184
XR_011016320.1 LOC137496185
XR_011016321.1 LOC137496186
XR_011016322.1 LOC137496186
XR_011016323.1 LOC137496186
XR_011016324.1 LOC137496187
XR_011016325.1 LOC101882371
XR_011016326.1 LOC101882371
XR_011016327.1 LOC101882371
XR_011016328.1 LOC101882371
XR_011016329.1 LOC101882371
XR_011016330.1 LOC101882371
XR_011016331.1 LOC137496188
XR_011016332.1 LOC137496188
XR_011016333.1 LOC137496189
XR_011016334.1 LOC137490295
XR_011016335.1 LOC137490296
XR_011016336.1 LOC137496190
XR_011016337.1 LOC137496190
XR_011016338.1 LOC137496190
XR_011016339.1 LOC137496191
XR_011016340.1 LOC137496192
XR_011016341.1 LOC137490297
XR_011016342.1 LOC137496193
XR_011016343.1 LOC137496194
XR_011016344.1 LOC137496194
XR_011016345.1 LOC137496195
XR_011016346.1 LOC137496196
XR_011016347.1 LOC137496197
XR_011016348.1 LOC137496197
XR_011016349.1 LOC137496198
XR_011016350.1 LOC110439941
XR_011016351.1 LOC110439941
XR_011016352.1 LOC137496199
XR_011016353.1 LOC137496200
XR_011016354.1 LOC137496200
XR_011016355.1 LOC108190697
XR_011016356.1 LOC137496201
XR_011016357.1 LOC137496202
XR_011016358.1 LOC108190699
XR_011016359.1 LOC137496203
XR_011016360.1 LOC137496203
XR_011016361.1 LOC137496203
XR_011016362.1 LOC137496204
XR_011016363.1 LOC137496204
XR_011016364.1 LOC137490300
XR_011016365.1 LOC137490300
XR_011016366.1 LOC137496205
XR_011016367.1 LOC137496205
XR_011016368.1 LOC137490301
XR_011016369.1 LOC137490302
XR_011016370.1 LOC137490303
XR_011016371.1 LOC137490303
XR_011016372.1 LOC137496206
XR_011016373.1 LOC137496206
XR_011016374.1 LOC137490304
XR_011016375.1 LOC137496207
XR_011016376.1 LOC137496208
XR_011016377.1 LOC103911415
XR_011016378.1 LOC137496209
XR_011016379.1 LOC137496210
XR_011016380.1 LOC137496210
XR_011016381.1 LOC137496211
XR_011016382.1 si:busm1-180g5.6
XR_011016383.1 si:busm1-180g5.6
XR_011016384.1 si:busm1-180g5.6
XR_011016385.1 si:busm1-180g5.6
XR_011016386.1 LOC137496212
XR_011016387.1 LOC137496212
XR_011016388.1 LOC137496212
XR_011016389.1 LOC137496213
XR_011016390.1 LOC137496214
XR_011016391.1 LOC137496214
XR_011016392.1 LOC137496214
XR_011016393.1 LOC137496214
XR_011016394.1 LOC137496215
XR_011016395.1 LOC137496215
XR_011016396.1 LOC137496216
XR_011016397.1 LOC137496216
XR_011016398.1 LOC137496217
XR_011016399.1 LOC137496217
XR_011016400.1 LOC137496217
XR_011016401.1 LOC137496217
XR_011016402.1 LOC137496218
XR_011016403.1 LOC137496218
XR_011016404.1 LOC137496218
XR_011016405.1 LOC137496220
XR_011016406.1 LOC137496220
XR_011016407.1 LOC137496221
XR_011016408.1 LOC137496222
XR_011016409.1 LOC137496223
XR_011016410.1 LOC137496223
XR_011016411.1 LOC100536797
XR_011016412.1 LOC100536797
XR_011016413.1 LOC100536797
XR_011016414.1 LOC100536797
XR_011016415.1 LOC137496225
XR_011016416.1 LOC137496226
XR_011016417.1 LOC137496227
XR_011016418.1 LOC110439952
XR_011016419.1 LOC110439952
XR_011016420.1 LOC137496228
XR_011016421.1 LOC137496229
XR_011016422.1 LOC137496230
XR_011016423.1 LOC137496230
XR_011016424.1 LOC137496230
XR_011016425.1 LOC137496232
XR_011016426.1 LOC137496232
XR_011016427.1 LOC137496232
XR_011016428.1 LOC137496232
XR_011016429.1 LOC137496233
XR_011016430.1 lrch4
XR_011016431.1 LOC101883943
XR_011016432.1 LOC101883943
XR_011016433.1 LOC137496234
XR_011016434.1 LOC137496235
XR_011016435.1 LOC137496236
XR_011016436.1 LOC137496237
XR_011016437.1 LOC137496237
XR_011016438.1 LOC137496238
XR_011016439.1 LOC108190816
XR_011016440.1 LOC137496239
XR_011016441.1 LOC137496240
XR_011016442.1 LOC137496241
XR_011016443.1 LOC137496242
XR_011016444.1 LOC101886471
XR_011016445.1 LOC101886471
XR_011016446.1 sipa1
XR_011016447.1 LOC137496243
XR_011016448.1 LOC137496245
XR_011016449.1 LOC137496246
XR_011016450.1 LOC137496247
XR_011016451.1 LOC137496247
XR_011016452.1 LOC137496251
XR_011016453.1 LOC137496259
XR_011016454.1 LOC137496260
XR_011016455.1 LOC137496261
XR_011016456.1 LOC137496262
XR_011016457.1 LOC137496263
XR_011016458.1 LOC137496264
XR_011016459.1 LOC137496265
XR_011016460.1 LOC137496266
XR_011016461.1 LOC137496267
XR_011016462.1 LOC137490278
XR_011016463.1 LOC137490279
XR_011016464.1 LOC137490274
XR_011016465.1 LOC137490275
XR_011016466.1 LOC137490276
XR_011016467.1 LOC137490277
XR_011016468.1 LOC137496269
XR_011016469.1 LOC137496270
XR_011016470.1 LOC137496271
XR_011016471.1 LOC137496272
XR_011016472.1 LOC137496273
XR_011016473.1 LOC137496274
XR_011016474.1 LOC137496275
XR_011016475.1 LOC137496276
XR_011016476.1 LOC137496277
XR_011016477.1 LOC137490280
XR_011016478.1 LOC137496278
XR_011016479.1 LOC137496279
XR_011016480.1 LOC137496280
XR_011016481.1 cdc14b
XR_011016482.1 cdc14b
XR_011016483.1 atxn7l2b
XR_011016484.1 pip5k1bb
XR_011016485.1 slc66a1
XR_011016486.1 slc35a2
XR_011016487.1 borcs6
XR_011016488.1 LOC137496285
XR_011016489.1 LOC137496285
XR_011016490.1 LOC137496286
XR_011016491.1 LOC137496287
XR_011016492.1 LOC137496288
XR_011016493.1 LOC137496289
XR_011016494.1 LOC137496290
XR_011016495.1 LOC137496291
XR_011016496.1 pimr105
XR_011016497.1 LOC137496292
XR_011016498.1 LOC137496294
XR_011016499.1 LOC137496295
XR_011016500.1 LOC137496296
XR_011016501.1 LOC137496297
XR_011016502.1 LOC137487313
XR_011016503.1 LOC137496298
XR_011016504.1 LOC137490318
XR_011016505.1 LOC137490330
XR_011016506.1 LOC137496299
XR_011016507.1 LOC137496299
XR_011016508.1 LOC137490329
XR_011016509.1 LOC137496300
XR_011016510.1 LOC137496301
XR_011016511.1 LOC137496302
XR_011016512.1 LOC137496303
XR_011016513.1 LOC110440018
XR_011016514.1 LOC137496304
XR_011016515.1 LOC137496306
XR_011016516.1 LOC137496307
XR_011016517.1 LOC100535162
XR_011016518.1 LOC137496319
XR_011016519.1 LOC137496320
XR_011016520.1 LOC137496320
XR_011016521.1 LOC137496321
XR_011016522.1 LOC137496322
XR_011016523.1 LOC137496323
XR_011016524.1 si:dkey-178e17.2
XR_011016525.1 LOC137496324
XR_011016526.1 LOC137496324
XR_011016527.1 LOC137496324
XR_011016528.1 LOC137496324
XR_011016529.1 bicdl1
XR_011016530.1 bicdl1
XR_011016531.1 LOC137496326
XR_011016532.1 LOC101885047
XR_011016533.1 si:dkey-242k1.4
XR_011016534.1 si:dkey-242k1.4
XR_011016535.1 LOC137496327
XR_011016536.1 LOC137496328
XR_011016537.1 LOC137496329
XR_011016538.1 LOC103911468
XR_011016539.1 LOC103911468
XR_011016540.1 LOC137496330
XR_011016541.1 LOC101886593
XR_011016542.1 LOC101886593
XR_011016543.1 LOC101886593
XR_011016544.1 LOC110440006
XR_011016545.1 LOC110440006
XR_011016546.1 LOC110440006
XR_011016547.1 LOC101886813
XR_011016548.1 LOC101886813
XR_011016549.1 LOC101886813
XR_011016550.1 LOC100149233
XR_011016551.1 si:ch211-126g16.8
XR_011016552.1 LOC101882298
XR_011016553.1 LOC137496331
XR_011016554.1 LOC137496332
XR_011016555.1 LOC103911487
XR_011016556.1 LOC137496333
XR_011016557.1 LOC137496334
XR_011016558.1 LOC137496335
XR_011016559.1 LOC137496336
XR_011016560.1 LOC137490309
XR_011016561.1 LOC137490310
XR_011016562.1 LOC137490310
XR_011016563.1 LOC103911491
XR_011016564.1 LOC103911491
XR_011016565.1 LOC103911491
XR_011016566.1 LOC137496337
XR_011016567.1 LOC137496338
XR_011016568.1 LOC137496338
XR_011016569.1 LOC103911496
XR_011016570.1 LOC103911496
XR_011016571.1 LOC103911498
XR_011016572.1 LOC103911498
XR_011016573.1 LOC137496339
XR_011016574.1 LOC137496339
XR_011016575.1 LOC137496339
XR_011016576.1 si:ch211-120j21.2
XR_011016577.1 LOC100005423
XR_011016578.1 si:dkeyp-82a1.1
XR_011016579.1 si:dkeyp-82a1.1
XR_011016580.1 LOC137490313
XR_011016581.1 LOC137496340
XR_011016582.1 LOC137496341
XR_011016583.1 LOC137490315
XR_011016584.1 LOC137496342
XR_011016585.1 LOC137496342
XR_011016586.1 LOC137496343
XR_011016587.1 LOC137496343
XR_011016588.1 LOC137496344
XR_011016589.1 LOC137496345
XR_011016590.1 LOC137496346
XR_011016591.1 LOC137496346
XR_011016592.1 LOC137496347
XR_011016593.1 LOC137496348
XR_011016594.1 LOC137496349
XR_011016595.1 LOC137496350
XR_011016596.1 LOC137496350
XR_011016597.1 LOC137496350
XR_011016598.1 LOC137496350
XR_011016599.1 LOC137496350
XR_011016600.1 LOC137496350
XR_011016601.1 LOC137496350
XR_011016602.1 LOC137496351
XR_011016603.1 im:7152855
XR_011016604.1 LOC137496352
XR_011016605.1 LOC137496353
XR_011016606.1 LOC137496354
XR_011016607.1 LOC137496355
XR_011016608.1 LOC137496356
XR_011016609.1 LOC137487316
XR_011016610.1 LOC137496357
XR_011016611.1 LOC137496358
XR_011016612.1 LOC137496359
XR_011016613.1 LOC137496360
XR_011016614.1 LOC137496362
XR_011016615.1 LOC137496362
XR_011016616.1 LOC137496362
XR_011016617.1 LOC137496362
XR_011016618.1 LOC137496362
XR_011016619.1 LOC137496362
XR_011016620.1 LOC110440015
XR_011016621.1 LOC110439999
XR_011016622.1 LOC110439999
XR_011016623.1 LOC110439999
XR_011016624.1 LOC110439999
XR_011016625.1 LOC110440000
XR_011016626.1 LOC137496363
XR_011016627.1 LOC137490333
XR_011016628.1 LOC137490333
XR_011016629.1 LOC137490334
XR_011016630.1 LOC137490334
XR_011016631.1 LOC137490334
XR_011016632.1 LOC137490334
XR_011016633.1 LOC137496364
XR_011016634.1 LOC137496364
XR_011016635.1 LOC137496364
XR_011016636.1 LOC137487321
XR_011016637.1 LOC137487321
XR_011016638.1 LOC137487321
XR_011016639.1 LOC137487321
XR_011016640.1 LOC137487321
XR_011016641.1 LOC137487321
XR_011016642.1 LOC137487321
XR_011016643.1 LOC137496365
XR_011016644.1 LOC110440017
XR_011016645.1 LOC137496366
XR_011016646.1 LOC137490336
XR_011016647.1 LOC137490336
XR_011016648.1 LOC137490336
XR_011016649.1 LOC137490336
XR_011016650.1 LOC137496368
XR_011016651.1 LOC137496368
XR_011016652.1 LOC137496368
XR_011016653.1 LOC108190972
XR_011016654.1 LOC108190972
XR_011016655.1 LOC108190972
XR_011016656.1 LOC108190972
XR_011016657.1 LOC108190972
XR_011016658.1 LOC108190972
XR_011016659.1 LOC108190972
XR_011016660.1 LOC108190972
XR_011016661.1 LOC137496369
XR_011016662.1 LOC137496370
XR_011016663.1 LOC137496371
XR_011016664.1 LOC110438822
XR_011016665.1 LOC101886085
XR_011016666.1 LOC101886085
XR_011016667.1 LOC101886085
XR_011016668.1 LOC101886085
XR_011016669.1 LOC101886085
XR_011016670.1 LOC101886085
XR_011016671.1 LOC101886574
XR_011016672.1 LOC110438828
XR_011016673.1 glt1d1
XR_011016674.1 LOC137496373
XR_011016675.1 LOC137496373
XR_011016676.1 LOC137496374
XR_011016677.1 LOC137496374
XR_011016678.1 LOC137496375
XR_011016679.1 LOC137496376
XR_011016680.1 LOC137496378
XR_011016681.1 LOC137496378
XR_011016682.1 LOC137496378
XR_011016683.1 LOC137496379
XR_011016684.1 LOC137496380
XR_011016685.1 LOC101885946
XR_011016686.1 LOC137496382
XR_011016687.1 LOC137496383
XR_011016688.1 LOC137496384
XR_011016689.1 LOC103911563
XR_011016690.1 LOC103911563
XR_011016691.1 LOC137496385
XR_011016692.1 LOC137496385
XR_011016693.1 LOC137496386
XR_011016694.1 LOC137496388
XR_011016695.1 LOC137496389
XR_011016696.1 LOC110440025
XR_011016697.1 fam110a
XR_011016698.1 fam110a
XR_011016699.1 fam110a
XR_011016700.1 antxr1a
XR_011016701.1 LOC137496392
XR_011016702.1 LOC137496393
XR_011016703.1 LOC137496393
XR_011016704.1 LOC137496394
XR_011016705.1 LOC137496395
XR_011016706.1 LOC137496396
XR_011016707.1 LOC137496397
XR_011016708.1 LOC137496398
XR_011016709.1 LOC137496399
XR_011016710.1 LOC137496400
XR_011016711.1 LOC137496401
XR_011016712.1 LOC137496402
XR_011016713.1 LOC137496403
XR_011016714.1 LOC137496404
XR_011016715.1 LOC137496405
XR_011016716.1 LOC137496406
XR_011016717.1 LOC137496407
XR_011016718.1 LOC137496408
XR_011016719.1 LOC137496409
XR_011016720.1 dhcr7
XR_011016721.1 dhcr7
XR_011016722.1 si:ch211-125e6.8
XR_011016723.1 ccnt2a
XR_011016724.1 mitd1
XR_011016725.1 grtp1b
XR_011016726.1 sp3a
XR_011016727.1 abhd13
XR_011016728.1 pofut2
XR_011016729.1 LOC137496413
XR_011016730.1 LOC137496413
XR_011016731.1 LOC137496414
XR_011016732.1 LOC137496414
XR_011016733.1 LOC137496414
XR_011016734.1 LOC137496415
XR_011016735.1 LOC137496415
XR_011016736.1 LOC137496416
XR_011016737.1 LOC137496417
XR_011016738.1 LOC103911686
XR_011016739.1 LOC137496419
XR_011016740.1 si:ch211-214p13.8
XR_011016741.1 LOC137496420
XR_011016742.1 LOC137496420
XR_011016743.1 LOC137496422
XR_011016744.1 LOC137496423
XR_011016745.1 LOC137496423
XR_011016746.1 LOC137490345
XR_011016747.1 LOC137496424
XR_011016748.1 LOC137496425
XR_011016749.1 LOC137496426
XR_011016750.1 LOC101884718
XR_011016751.1 LOC137490359
XR_011016752.1 LOC137496427
XR_011016753.1 LOC137496428
XR_011016754.1 LOC137496429
XR_011016755.1 LOC137496430
XR_011016756.1 LOC137496431
XR_011016757.1 LOC137496432
XR_011016758.1 LOC137496433
XR_011016759.1 LOC137496434
XR_011016760.1 LOC137496435
XR_011016761.1 LOC137496436
XR_011016762.1 LOC137496437
XR_011016763.1 LOC137496438
XR_011016764.1 LOC137496439
XR_011016765.1 LOC110440038
XR_011016766.1 LOC137496440
XR_011016767.1 LOC137496441
XR_011016768.1 LOC137496441
XR_011016769.1 LOC137496442
XR_011016770.1 LOC137496443
XR_011016771.1 LOC137496444
XR_011016772.1 LOC137496444
XR_011016773.1 LOC137496445
XR_011016774.1 LOC110440040
XR_011016775.1 LOC137496446
XR_011016776.1 LOC137496446
XR_011016777.1 LOC137496446
XR_011016778.1 LOC137496447
XR_011016779.1 LOC108191363
XR_011016780.1 LOC108191363
XR_011016781.1 col4a2
XR_011016782.1 col4a2
XR_011016783.1 LOC137496449
XR_011016784.1 LOC137496450
XR_011016785.1 LOC137496451
XR_011016786.1 LOC137496452
XR_011016787.1 LOC137496452
XR_011016788.1 LOC137496452
XR_011016789.1 LOC137496452
XR_011016790.1 LOC137496453
XR_011016791.1 LOC137496454
XR_011016792.1 LOC103911618
XR_011016793.1 carf
XR_011016794.1 LOC137496455
XR_011016795.1 LOC137496456
XR_011016796.1 LOC137496456
XR_011016797.1 mpp4a
XR_011016798.1 LOC137496457
XR_011016799.1 LOC137496457
XR_011016800.1 LOC137496458
XR_011016801.1 LOC137490343
XR_011016802.1 LOC137490344
XR_011016803.1 LOC137496460
XR_011016804.1 LOC108191299
XR_011016805.1 LOC137496461
XR_011016806.1 LOC137496462
XR_011016807.1 LOC137490765
XR_011016808.1 LOC137490765
XR_011016809.1 LOC137490765
XR_011016810.1 LOC137496463
XR_011016811.1 LOC137496464
XR_011016812.1 LOC137496464
XR_011016813.1 LOC137496464
XR_011016814.1 LOC137496464
XR_011016815.1 LOC137496464
XR_011016816.1 LOC137496464
XR_011016817.1 LOC137496466
XR_011016818.1 LOC137496467
XR_011016819.1 LOC110440044
XR_011016820.1 LOC103911633
XR_011016821.1 LOC103911633
XR_011016822.1 LOC103911633
XR_011016823.1 LOC103911635
XR_011016824.1 LOC103911635
XR_011016825.1 LOC103911635
XR_011016826.1 LOC103911635
XR_011016827.1 LOC137496468
XR_011016828.1 LOC137490347
XR_011016829.1 LOC137496469
XR_011016830.1 LOC103911637
XR_011016831.1 LOC103911637
XR_011016832.1 LOC137490349
XR_011016833.1 LOC137496470
XR_011016834.1 LOC137496470
XR_011016835.1 LOC137496471
XR_011016836.1 LOC137490353
XR_011016837.1 LOC137490353
XR_011016838.1 LOC103911639
XR_011016839.1 LOC103911639
XR_011016840.1 LOC137496472
XR_011016841.1 LOC103911643
XR_011016842.1 LOC103911643
XR_011016843.1 LOC103911643
XR_011016844.1 LOC103911644
XR_011016845.1 LOC103911644
XR_011016846.1 LOC103911644
XR_011016847.1 LOC137496473
XR_011016848.1 LOC137496473
XR_011016849.1 LOC137496474
XR_011016850.1 LOC137490357
XR_011016851.1 LOC137490357
XR_011016852.1 LOC137490357
XR_011016853.1 LOC137496475
XR_011016854.1 LOC137490686
XR_011016855.1 LOC137496476
XR_011016856.1 LOC137490688
XR_011016857.1 LOC137496477
XR_011016858.1 LOC137490360
XR_011016859.1 LOC137490360
XR_011016860.1 LOC137490360
XR_011016861.1 si:dkey-46k9.4
XR_011016862.1 LOC137496478
XR_011016863.1 LOC137496478
XR_011016864.1 LOC101882140
XR_011016865.1 LOC137496480
XR_011016866.1 LOC101887159
XR_011016867.1 LOC101887159
XR_011016868.1 LOC101887159
XR_011016869.1 LOC137496481
XR_011016870.1 si:ch211-168k14.2
XR_011016871.1 LOC137496482
XR_011016872.1 LOC137496482
XR_011016873.1 LOC137496482
XR_011016874.1 LOC137496483
XR_011016875.1 LOC137496483
XR_011016876.1 LOC137496484
XR_011016877.1 LOC137496484
XR_011016878.1 LOC137496485
XR_011016879.1 LOC137496486
XR_011016880.1 LOC137496487
XR_011016881.1 LOC137496487
XR_011016882.1 LOC137496488
XR_011016883.1 LOC137496488
XR_011016884.1 LOC137496488
XR_011016885.1 LOC137496488
XR_011016886.1 LOC137496489
XR_011016887.1 LOC101886505
XR_011016888.1 LOC101886505
XR_011016889.1 LOC101886505
XR_011016890.1 LOC101886505
XR_011016891.1 LOC101886505
XR_011016892.1 LOC101886505
XR_011016893.1 LOC137496490
XR_011016894.1 LOC137496491
XR_011016895.1 LOC137496492
XR_011016896.1 LOC137496493
XR_011016897.1 LOC137496494
XR_011016898.1 LOC137496494
XR_011016899.1 LOC108191338
XR_011016900.1 LOC137496495
XR_011016901.1 LOC137496495
XR_011016902.1 LOC137496496
XR_011016903.1 LOC137496496
XR_011016904.1 LOC137496498
XR_011016905.1 LOC137496498
XR_011016906.1 LOC137496499
XR_011016907.1 LOC110440049
XR_011016908.1 LOC101882689
XR_011016909.1 LOC101882148
XR_011016910.1 LOC137496500
XR_011016911.1 LOC137496501
XR_011016912.1 LOC137496502
XR_011016913.1 gpbar1
XR_011016914.1 LOC137496503
XR_011016915.1 LOC137496503
XR_011016916.1 LOC137496504
XR_011016917.1 LOC137496505
XR_011016918.1 LOC137496507
XR_011016919.1 LOC137496508
XR_011016920.1 LOC137496509
XR_011016921.1 LOC137496510
XR_011016922.1 LOC110440052
XR_011016923.1 LOC137496511
XR_011016924.1 LOC137496512
XR_011016925.1 LOC137496513
XR_011016926.1 LOC137496514
XR_011016927.1 LOC137496516
XR_011016928.1 LOC137496516
XR_011016929.1 LOC137496516
XR_011016930.1 LOC137496518
XR_011016931.1 LOC137496519
XR_011016932.1 LOC137496520
XR_011016933.1 LOC137496521
XR_011016934.1 LOC137490351
XR_011016935.1 LOC137496522
XR_011016936.1 LOC137496523
XR_011016937.1 mef2ca
XR_011016938.1 mef2ca
XR_011016939.1 paqr3b
XR_011016940.1 git2b
XR_011016941.1 LOC137496525
XR_011016942.1 LOC137496526
XR_011016943.1 LOC137496532
XR_011016944.1 LOC137496534
XR_011016945.1 LOC137496535
XR_011016946.1 LOC137490367
XR_011016947.1 slc37a4bl
XR_011016948.1 LOC137496536
XR_011016949.1 LOC137496537
XR_011016950.1 LOC137496538
XR_011016951.1 LOC137496539
XR_011016952.1 LOC137496540
XR_011016953.1 LOC137496541
XR_011016954.1 LOC137496542
XR_011016955.1 LOC795962
XR_011016956.1 LOC137496543
XR_011016957.1 LOC100537962
XR_011016958.1 LOC137496544
XR_011016959.1 LOC108191553
XR_011016960.1 LOC137496545
XR_011016961.1 LOC137496545
XR_011016962.1 LOC137496546
XR_011016963.1 LOC101884200
XR_011016964.1 LOC137496550
XR_011016965.1 LOC137496550
XR_011016966.1 LOC137496550
XR_011016967.1 LOC101884606
XR_011016968.1 LOC101884606
XR_011016969.1 mfsd14ba
XR_011016970.1 erap1a
XR_011016971.1 LOC137496551
XR_011016972.1 LOC137496552
XR_011016973.1 LOC137496554
XR_011016974.1 LOC137496556
XR_011016975.1 LOC137496557
XR_011016976.1 LOC137496558
XR_011016977.1 LOC137496559
XR_011016978.1 LOC137496559
XR_011016979.1 LOC137496560
XR_011016980.1 LOC137490364
XR_011016981.1 si:ch211-193e13.5
XR_011016982.1 LOC103911723
XR_011016983.1 LOC103911723
XR_011016984.1 LOC137496562
XR_011016985.1 LOC137496563
XR_011016986.1 LOC137496563
XR_011016987.1 LOC137496563
XR_011016988.1 LOC137490368
XR_011016989.1 LOC137490368
XR_011016990.1 LOC137490368
XR_011016991.1 LOC110438845
XR_011016992.1 LOC101885184
XR_011016993.1 LOC101885184
XR_011016994.1 LOC101885184
XR_011016995.1 LOC101885184
XR_011016996.1 LOC101885184
XR_011016997.1 LOC101885184
XR_011016998.1 LOC101885184
XR_011016999.1 LOC101885184
XR_011017000.1 LOC101885184
XR_011017001.1 LOC137496565
XR_011017002.1 LOC137496566
XR_011017003.1 LOC137496566
XR_011017004.1 LOC137496567
XR_011017005.1 LOC137496568
XR_011017006.1 LOC137496569
XR_011017007.1 LOC137496570
XR_011017008.1 LOC137496571
XR_011017009.1 LOC137496572
XR_011017010.1 si:dkey-3h23.2
XR_011017011.1 LOC137496573
XR_011017012.1 LOC137496574
XR_011017013.1 LOC137496575
XR_011017014.1 LOC137496575
XR_011017015.1 LOC137496576
XR_011017016.1 LOC137496577
XR_011017017.1 LOC795389
XR_011017018.1 LOC137496578
XR_011017019.1 LOC137496578
XR_011017020.1 LOC137496579
XR_011017021.1 LOC137496580
XR_011017022.1 LOC137496581
XR_011017023.1 LOC137490374
XR_011017024.1 LOC137490375
XR_011017025.1 LOC137496582
XR_011017026.1 LOC137496582
XR_011017027.1 LOC137496582
XR_011017028.1 LOC137496583
XR_011017029.1 LOC137490376
XR_011017030.1 LOC137496584
XR_011017031.1 LOC137496585
XR_011017032.1 LOC137496586
XR_011017033.1 LOC137496586
XR_011017034.1 LOC137496586
XR_011017035.1 LOC103908728
XR_011017036.1 LOC103908728
XR_011017037.1 LOC137496587
XR_011017038.1 LOC110440071
XR_011017039.1 LOC110440071
XR_011017040.1 LOC137496588
XR_011017041.1 LOC137496589
XR_011017042.1 LOC137496589
XR_011017043.1 LOC110438858
XR_011017044.1 LOC110438858
XR_011017045.1 LOC137496590
XR_011017046.1 LOC137496590
XR_011017047.1 LOC137496591
XR_011017048.1 si:ch211-222e20.4
XR_011017049.1 si:ch211-222e20.4
XR_011017050.1 si:ch211-222e20.4
XR_011017051.1 si:ch211-222e20.4
XR_011017052.1 si:ch211-222e20.4
XR_011017053.1 si:ch211-222e20.4
XR_011017054.1 LOC103911755
XR_011017055.1 LOC103911755
XR_011017056.1 LOC103911755
XR_011017057.1 LOC101882864
XR_011017058.1 LOC137496592
XR_011017059.1 LOC137496592
